1.000000000000000671e-03 9.993255955099999976e-01 9.994755192199999971e-01 9.995316620399999907e-01 1.000000041361848169e+00 1.000000037317808177e+00 1.000000034563456763e+00
1.010061519641926525e-03 9.993188758459677912e-01 9.994703063568446400e-01 9.995270178376459702e-01 1.000000051838191961e+00 1.000000046769847772e+00 1.000000043317865739e+00
1.020224273461357205e-03 9.993120899040766059e-01 9.994650423429752850e-01 9.995223282825914657e-01 1.000000062191402472e+00 1.000000056110806446e+00 1.000000051969384796e+00
1.030489280027957304e-03 9.993052370444127641e-01 9.994597266900013821e-01 9.995175929463284703e-01 1.000000072183619970e+00 1.000000065126059434e+00 1.000000060319246487e+00
1.040857568159752602e-03 9.992983166211688584e-01 9.994543589051498866e-01 9.995128113965999761e-01 1.000000081576970734e+00 1.000000073600999961e+00 1.000000068168664047e+00
1.051330177026238996e-03 9.992913279825954564e-01 9.994489384912311758e-01 9.995079831973734397e-01 1.000000090133572161e+00 1.000000081320997714e+00 1.000000075318872250e+00
1.061908156252537897e-03 9.992842704709531398e-01 9.994434649466065190e-01 9.995031079088149140e-01 1.000000097615548977e+00 1.000000088071450799e+00 1.000000081571087440e+00
1.072592566024593115e-03 9.992771434224627658e-01 9.994379377651533281e-01 9.994981850872616258e-01 1.000000103785037453e+00 1.000000093637734677e+00 1.000000086726530180e+00
1.083384477195433078e-03 9.992699461672571726e-01 9.994323564362327383e-01 9.994932142851968848e-01 1.000000108404153654e+00 1.000000097805228361e+00 1.000000090586429469e+00
1.094284971392492541e-03 9.992626780293314415e-01 9.994267204446549702e-01 9.994881950512225499e-01 1.000000111235030964e+00 1.000000100359325739e+00 1.000000092952013198e+00
1.105295141126022389e-03 9.992553383264936029e-01 9.994210292706453558e-01 9.994831269300330501e-01 1.000000112039789890e+00 1.000000101085395832e+00 1.000000093624497488e+00
1.116416089898587122e-03 9.992479263703143433e-01 9.994152823898110327e-01 9.994780094623889610e-01 1.000000110580560486e+00 1.000000099768834527e+00 1.000000092405110230e+00
1.127648932315662798e-03 9.992404414660777112e-01 9.994094792731057497e-01 9.994728421850900268e-01 1.000000106619462148e+00 1.000000096195028165e+00 1.000000089095073097e+00
1.138994794197353442e-03 9.992328829127300471e-01 9.994036193867970042e-01 9.994676246309490697e-01 1.000000099918617158e+00 1.000000090149344434e+00 1.000000083495608427e+00
1.150454812691221367e-03 9.992252500028295792e-01 9.993977021924305149e-01 9.994623563287655665e-01 1.000000090240167783e+00 1.000000081417175002e+00 1.000000075407945888e+00
1.162030136386262187e-03 9.992175420224961302e-01 9.993917271467965824e-01 9.994570368032985597e-01 1.000000077346223204e+00 1.000000069783907319e+00 1.000000064633306929e+00
1.173721925428022374e-03 9.992097582513593812e-01 9.993856937018955611e-01 9.994516655752412326e-01 1.000000060998926799e+00 1.000000055034916846e+00 1.000000050972907228e+00
1.185531351634874298e-03 9.992018979625078012e-01 9.993796013049026650e-01 9.994462421611933767e-01 1.000000040960389747e+00 1.000000036955598581e+00 1.000000034227986445e+00
1.197459598615467635e-03 9.991939604224377991e-01 9.993734493981344391e-01 9.994407660736354115e-01 1.000000016992745211e+00 1.000000015331322212e+00 1.000000014199750709e+00
1.209507861887349758e-03 9.991859448910004327e-01 9.993672374190131213e-01 9.994352368209025173e-01 9.999999888682502558e-01 9.999999899566259787e-01 9.999999906979049058e-01
1.221677348996793059e-03 9.991778506213511157e-01 9.993609648000325585e-01 9.994296539071569896e-01 9.999999568095897517e-01 9.999999610324213917e-01 9.999999639085384029e-01
1.233969279639820105e-03 9.991696768598966605e-01 9.993546309687229012e-01 9.994240168323633711e-01 9.999999216594175344e-01 9.999999293189556493e-01 9.999999345357742930e-01
