    2    0.22148E-07    0.44269E-07    0.43383E-08    0.10914E+04    0.29535E+01    0.36068E-01    0.45431E-08    0.33709E-09    0.70000E+00
    3    0.22149E-07    0.44269E-07    0.37654E-08    0.51712E+03    0.16914E+01    0.24535E-01    0.19716E-08    0.14195E-09    0.70000E+00
    4    0.22149E-07    0.44270E-07    0.35781E-08    0.29373E+03    0.96652E+00    0.13588E-01    0.11241E-08    0.75671E-10    0.70000E+00
    5    0.22149E-07    0.44270E-07    0.34924E-08    0.18745E+03    0.55846E+00    0.64715E-02    0.73145E-09    0.45940E-10    0.70000E+00
    6    0.22149E-07    0.44271E-07    0.34445E-08    0.12972E+03    0.32639E+00    0.27361E-02    0.51529E-09    0.30300E-10    0.70000E+00
    7    0.22149E-07    0.44271E-07    0.34167E-08    0.95247E+02    0.19428E+00    0.11140E-02    0.38335E-09    0.21180E-10    0.70000E+00
    8    0.22150E-07    0.44272E-07    0.33975E-08    0.73128E+02    0.11942E+00    0.52259E-03    0.29649E-09    0.15459E-10    0.70000E+00
    9    0.22150E-07    0.44273E-07    0.33856E-08    0.58125E+02    0.77508E-01    0.32059E-03    0.23636E-09    0.11670E-10    0.70000E+00
   10    0.22150E-07    0.44273E-07    0.33762E-08    0.47476E+02    0.54411E-01    0.22788E-03    0.19285E-09    0.90512E-11    0.70000E+00
   11    0.22151E-07    0.44274E-07    0.33616E-08    0.39651E+02    0.41849E-01    0.16313E-03    0.16001E-09    0.72114E-11    0.70000E+00
   12    0.22151E-07    0.44275E-07    0.33441E-08    0.33726E+02    0.34964E-01    0.11718E-03    0.13469E-09    0.58129E-11    0.70000E+00
   13    0.22152E-07    0.44276E-07    0.33282E-08    0.29122E+02    0.30973E-01    0.90649E-04    0.11490E-09    0.47708E-11    0.70000E+00
   14    0.22152E-07    0.44277E-07    0.33167E-08    0.25465E+02    0.28383E-01    0.78268E-04    0.99236E-10    0.39526E-11    0.70000E+00
   15    0.22153E-07    0.44278E-07    0.33113E-08    0.22515E+02    0.26442E-01    0.72716E-04    0.86690E-10    0.33179E-11    0.70000E+00
   16    0.22154E-07    0.44280E-07    0.33123E-08    0.20099E+02    0.24797E-01    0.69631E-04    0.76514E-10    0.28154E-11    0.70000E+00
